Accel_x,Accel_y,Accel_z
0.328,-0.18,0.78
0.304,-0.056,0.716
0.349,0.014,0.878
0.355,0.046,0.878
0.302,0.111,0.858
0.142,0.173,0.752
0.173,0.265,0.689
0.186,0.277,0.738
0.201,0.287,0.762
0.203,0.288,0.773
0.196,0.491,0.765
0.092,0.547,0.755
0.197,0.251,0.684
0.224,0.145,0.694
0.24,0.2,0.722
0.192,0.327,0.736
0.178,0.348,0.763
0.162,0.356,0.79
0.174,0.315,0.851
0.189,0.328,0.871
0.212,0.341,0.876
0.206,0.346,0.867
0.192,0.354,0.878
0.163,0.38,0.884
0.171,0.392,0.912
0.207,0.371,0.916
0.223,0.36,0.934
0.255,0.366,0.935
0.24,0.38,0.931
0.233,0.372,0.927
0.239,0.366,0.924
0.246,0.347,0.93
0.241,0.339,0.929
0.246,0.326,0.937
1.263,-0.828,0.192
1.006,-0.732,-0.18
1.161,-1.103,0.121
1.111,-0.748,0.113
1.178,-1.074,-0.155
1.253,-1.168,-0.254
1.262,-1.168,-0.238
1.288,-1.258,-0.244
1.301,-1.295,-0.332
1.349,-1.371,-0.292
1.38,-1.453,-0.151
1.356,-1.596,-0.04
1.411,-1.635,0.11
1.491,-1.697,0.242
1.392,-1.628,0.498
1.336,-1.554,0.81
1.188,-1.392,0.95
0.942,-1.189,1.109
0.838,-1.01,1.256
0.623,-0.935,1.343
0.425,-0.856,1.406
0.315,-1.144,1.313
0.209,-1.18,1.195
-0.026,-1.113,1.145
-0.192,-1.157,1.104
-0.263,-1.189,1.166
-0.362,-1.21,1.303
-0.428,-1.256,1.331
-0.451,-1.178,1.324
-0.435,-0.959,1.295
-0.355,-0.843,1.083
-0.261,-0.824,0.996
-0.107,-0.736,0.849
-0.002,-0.672,0.696
0.15,-0.634,0.489
0.29,-0.567,0.407
0.455,-0.585,0.274
0.532,-0.582,0.121
0.684,-0.564,0.058
0.824,-0.488,-0.022
0.89,-0.39,-0.072
1.023,-0.345,-0.075
1.096,-0.27,-0.072
1.142,-0.243,-0.047
1.132,-0.213,-0.04
1.12,-0.238,0.031
1.088,-0.304,0.076
1.03,-0.385,0.16
0.992,-0.433,0.22
0.932,-0.512,0.267
0.83,-0.505,0.393
0.809,-0.632,0.386
0.824,-0.741,0.411
0.822,-0.841,0.426
0.819,-0.876,0.456
0.798,-0.877,0.492
0.779,-0.873,0.51
0.769,-0.872,0.523
0.772,-0.894,0.517
0.742,-0.927,0.462
0.759,-0.939,0.478
0.77,-0.865,0.503
0.79,-0.807,0.479
0.815,-0.834,0.447
0.847,-0.862,0.436
0.871,-0.823,0.421
0.885,-0.792,0.427
0.929,-0.757,0.461
0.968,-0.795,0.467
0.987,-0.797,0.446
0.981,-0.791,0.445
0.984,-0.781,0.455
0.985,-0.78,0.484
1,-0.773,0.54
1.029,-0.731,0.576
0.991,-0.683,0.578
0.968,-0.593,0.557
