Accel_x,Accel_y,Accel_z
0.151,-0.087,0.909
0.163,-0.111,0.91
0.185,-0.118,0.919
0.208,-0.121,0.922
0.218,-0.11,0.933
0.22,-0.101,0.945
0.229,-0.078,0.949
0.233,-0.054,0.954
0.232,-0.035,0.955
0.222,-0.03,0.958
0.204,-0.031,0.958
0.196,-0.042,0.961
0.183,-0.05,0.963
0.168,-0.063,0.967
0.163,-0.071,0.977
0.157,-0.068,0.989
0.156,-0.064,0.994
0.154,-0.058,1.008
0.155,-0.052,1.02
0.159,-0.052,1.026
0.162,-0.052,1.039
0.169,-0.058,1.048
0.177,-0.072,1.065
0.197,-0.077,1.071
0.214,-0.087,1.081
0.22,-0.092,1.088
0.217,-0.101,1.089
0.208,-0.111,1.089
0.2,-0.119,1.087
0.193,-0.132,1.089
0.191,-0.144,1.094
0.188,-0.145,1.102
0.196,-0.141,1.118
0.21,-0.134,1.133
0.215,-0.117,1.138
0.219,-0.097,1.149
0.225,-0.086,1.152
0.23,-0.063,1.155
0.231,-0.026,1.153
0.236,-0.003,1.147
0.232,0.044,1.136
0.229,0.067,1.119
0.224,0.104,1.114
0.217,0.134,1.1
0.213,0.15,1.085
0.202,0.172,1.079
0.197,0.184,1.074
0.189,0.19,1.057
0.165,0.181,1.057
0.181,0.175,1.06
0.207,0.174,1.064
0.238,0.179,1.077
0.237,0.177,1.098
0.258,0.173,1.103
0.259,0.164,1.098
0.264,0.157,1.092
0.278,0.165,1.087
0.281,0.196,1.075
0.277,0.228,1.068
0.264,0.237,1.07
0.279,0.258,1.065
0.28,0.264,1.053
0.283,0.285,1.045
0.297,0.296,1.048
0.33,0.31,1.04
0.332,0.357,1.047
0.331,0.369,1.074
-0.343,-0.274,1.478
-0.202,-0.22,1.621
-0.225,-0.172,1.717
-0.175,-0.181,1.742
-0.122,-0.142,1.75
-0.062,-0.101,1.754
-0.059,-0.075,1.703
-0.013,-0.045,1.672
-0.01,-0.015,1.618
0.005,-0.019,1.578
-0.03,-0.026,1.559
-0.062,-0.075,1.466
-0.078,-0.111,1.391
-0.039,-0.169,1.363
-0.032,-0.183,1.276
-0.145,-0.189,1.228
-0.11,-0.26,1.135
-0.134,-0.247,1.063
-0.176,-0.257,1.025
-0.201,-0.274,0.984
-0.265,-0.276,0.972
-0.261,-0.326,0.954
-0.233,-0.324,0.923
-0.204,-0.301,0.914
-0.213,-0.268,0.9
-0.193,-0.261,0.875
-0.155,-0.262,0.87
-0.114,-0.256,0.877
-0.135,-0.263,0.876
-0.136,-0.291,0.845
-0.116,-0.305,0.832
-0.082,-0.334,0.823
-0.094,-0.33,0.807
-0.085,-0.34,0.793
-0.062,-0.324,0.805
0.011,-0.341,0.81
0.036,-0.308,0.842
-0.034,-0.3,0.839
-0.066,-0.342,0.836
-0.013,-0.397,0.851
0.018,-0.43,0.881
-0.015,-0.432,0.913
-0.037,-0.466,0.924
-0.029,-0.481,0.941
-0.002,-0.477,0.965
0.002,-0.452,0.97
-0.007,-0.419,0.976
-0.023,-0.421,0.974
-0.009,-0.417,0.975
-0.009,-0.428,0.976
-0.008,-0.44,0.986
-0.009,-0.458,0.991
-0.011,-0.476,1.003
-0.015,-0.489,1.018
-0.023,-0.492,1.049
-0.035,-0.488,1.065
-0.043,-0.45,1.069
-0.064,-0.413,1.048
-0.077,-0.392,1.018
-0.098,-0.396,1.009
-0.117,-0.405,1.004
-0.117,-0.394,0.976
-0.119,-0.392,0.939
-0.121,-0.391,0.924
-0.124,-0.402,0.926
-0.125,-0.414,0.943
-0.134,-0.415,0.957
-0.142,-0.416,0.962
-0.144,-0.413,0.966
-0.146,-0.41,0.969
-0.142,-0.406,0.971
-0.136,-0.408,0.981
-0.136,-0.414,0.989
-0.135,-0.418,0.997
-0.128,-0.428,1
-0.12,-0.443,1.005
-0.118,-0.448,1.005
-0.118,-0.456,1.005
-0.142,-0.514,1.004
-0.117,-0.499,1.001
-0.117,-0.473,1.009
-0.109,-0.46,1.023
-0.116,-0.468,1.029
-0.09,-0.44,1.05
-0.088,-0.415,1.072
-0.08,-0.399,1.098
-0.076,-0.372,1.104
-0.078,-0.362,1.114
-0.073,-0.344,1.12
-0.062,-0.317,1.118
